1982 [main] INFO  net.tomp2p.connection.PeerCreator - Status of external address search: Discover status:  ++lo( /127.0.0.1,/0:0:0:0:0:0:0:1), ++eth0(), ++eth1(), ++wlan0( /fe80:0:0:0:f038:3e05:1fa6:8a68%wlan0), ++net0(), ++ppp0(), ++eth2(), ++net1(), ++net2(), ++net3(), ++ppp1(), ++net4(), ++net5(), ++eth3(), ++net6(), ++eth4(), ++eth5(), ++net7(), ++net8( /fe80:0:0:0:0:5efe:c0a8:e%net8), ++net9( /2001:0:9d38:90d7:c17:338f:af24:4a6b,/fe80:0:0:0:c17:338f:af24:4a6b%net9), ++eth6( /fe80:0:0:0:d5b8:9640:9aa6:346c%eth6), ++net10(), ++eth7( /192.168.0.14,/fe80:0:0:0:3847:7a64:f49f:7c19%eth7), ++eth8(), ++wlan1( /fe80:0:0:0:2569:9eb9:e4c8:5698%wlan1), ++net11(), ++wlan2(), ++eth9(), ++eth10(), ++eth11(), ++eth12(), ++eth13(), ++eth14(), ++eth15(), ++eth16(), ++eth17(), ++eth18(), ++eth19(), ++wlan3(), ++wlan4(), ++wlan5(), ++wlan6(), ++wlan7(), ++wlan8(), ++wlan9(), ++wlan10(), ++wlan11().
2001 [main] INFO  net.tomp2p.connection.PeerCreator - Visible address to other peers: paddr[0x1[/192.168.0.14,4004]]/relay(false)/slow(false)
3077 [pool-2-thread-1] WARN  net.tomp2p.connection.ChannelServer - cannot bind broadcast UDP /127.255.255.255:4004
3085 [pool-2-thread-1] WARN  net.tomp2p.connection.ChannelServer - cannot bind broadcast UDP /192.168.0.255:4004
3086 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on wildcard broadcast address 0.0.0.0/0.0.0.0:4004
3476 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /127.0.0.1 on port tcp: 4004
3479 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /0:0:0:0:0:0:0:1 on port tcp: 4004
3484 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:f038:3e05:1fa6:8a68%wlan0 on port tcp: 4004
3487 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:0:5efe:c0a8:e%net8 on port tcp: 4004
3490 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /2001:0:9d38:90d7:c17:338f:af24:4a6b on port tcp: 4004
3493 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:c17:338f:af24:4a6b%net9 on port tcp: 4004
3496 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:d5b8:9640:9aa6:346c%eth6 on port tcp: 4004
3499 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /192.168.0.14 on port tcp: 4004
3502 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:3847:7a64:f49f:7c19%eth7 on port tcp: 4004
3505 [pool-2-thread-1] INFO  net.tomp2p.connection.ChannelServer - Listening on address: /fe80:0:0:0:2569:9eb9:e4c8:5698%wlan1 on port tcp: 4004
3967 [Thread-0] INFO  n.t.mapreduce.evaljob.StartTask - >>>>>>>>>>>>>>>>>>>> EXECUTING START TASK 
11015 [NETTY-TOMP2P - worker-client/server - -1-12] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-975076734], v[content of ()])
11085 [pool-4-thread-8] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-459248061], v[content of ()])
11291 [pool-1-thread-1] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> START EXECUTING MAPTASK [0],[-975076734]
11533 [NETTY-TOMP2P - worker-client/server - -1-10] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-1633549540], v[content of ()])
11992 [NETTY-TOMP2P - worker-client/server - -1-12] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[1673782109], v[content of ()])
12074 [pool-1-thread-3] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> START EXECUTING MAPTASK [1],[-1633549540]
12526 [NETTY-TOMP2P - worker-client/server - -1-1] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [-975076734] requested by peer [1] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
12862 [NETTY-TOMP2P - worker-client/server - -1-15] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[2141627826], v[content of ()])
12885 [NETTY-TOMP2P - worker-client/server - -1-8] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-1852056802], v[content of ()])
12933 [NETTY-TOMP2P - worker-client/server - -1-9] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[1698494669], v[content of ()])
13029 [NETTY-TOMP2P - worker-client/server - -1-8] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[1316075284], v[content of ()])
13256 [pool-1-thread-2] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> START EXECUTING MAPTASK [2],[-459248061]
13368 [NETTY-TOMP2P - worker-client/server - -1-4] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-816862022], v[content of ()])
13408 [NETTY-TOMP2P - worker-client/server - -1-15] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-1618326642], v[content of ()])
13417 [NETTY-TOMP2P - worker-client/server - -1-13] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-749865235], v[content of ()])
13458 [pool-1-thread-10] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> START EXECUTING MAPTASK [3],[-1618326642]
13683 [NETTY-TOMP2P - worker-client/server - -1-16] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[212795668], v[content of ()])
13743 [NETTY-TOMP2P - worker-client/server - -1-16] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-2066106826], v[content of ()])
13782 [NETTY-TOMP2P - worker-client/server - -1-14] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [-1633549540] requested by peer [1] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
13795 [NETTY-TOMP2P - worker-client/server - -1-3] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[450247028], v[content of ()])
13798 [NETTY-TOMP2P - worker-client/server - -1-16] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-1106207378], v[content of ()])
13916 [NETTY-TOMP2P - worker-client/server - -1-5] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [-459248061] requested by peer [1] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
14008 [NETTY-TOMP2P - worker-client/server - -1-5] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-153224391], v[content of ()])
14037 [NETTY-TOMP2P - worker-client/server - -1-14] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[1730325525], v[content of ()])
14089 [NETTY-TOMP2P - worker-client/server - -1-2] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-1259703404], v[content of ()])
14102 [NETTY-TOMP2P - worker-client/server - -1-7] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[1675569376], v[content of ()])
14105 [NETTY-TOMP2P - worker-client/server - -1-14] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[640749807], v[content of ()])
14123 [NETTY-TOMP2P - worker-client/server - -1-14] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-96642674], v[content of ()])
14369 [NETTY-TOMP2P - worker-client/server - -1-13] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[853867819], v[content of ()])
14382 [NETTY-TOMP2P - worker-client/server - -1-11] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [-459248061] requested by peer [3] is [not null], dst.currentNrOfExecutions(): 2, possible nr of executions: [2]
14398 [NETTY-TOMP2P - worker-client/server - -1-13] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[39373727], v[content of ()])
14409 [NETTY-TOMP2P - worker-client/server - -1-13] INFO  n.t.mapreduce.evaljob.StartTask - success on put(k[-1553681525], v[content of ()])
14509 [NETTY-TOMP2P - worker-client/server - -1-5] INFO  n.tomp2p.mapreduce.DistributedTask - in !deniedCntr.containsKey(recip) (requestor[1] GRANTED access to [-975076734]) recCntr[3] denCntr[0] for requestor/key : 1_0xf00eec27476a073e5a9c6d9896092bf2c5e18282_0xee2e8d67ac3ee657e7ed1bce149b8d700f558199
14514 [NETTY-TOMP2P - worker-client/server - -1-5] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAP TASK [0] future.isSuccess()?:true
14544 [NETTY-TOMP2P - worker-client/server - -1-3] INFO  n.tomp2p.mapreduce.DistributedTask - in !deniedCntr.containsKey(recip) (requestor[1] GRANTED access to [-459248061]) recCntr[3] denCntr[0] for requestor/key : 1_0x3fb65357e1aaa51a3467f520f692d61be4a06e43_0xee2e8d67ac3ee657e7ed1bce149b8d700f558199
14545 [NETTY-TOMP2P - worker-client/server - -1-3] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAP TASK [2] future.isSuccess()?:true
14572 [NETTY-TOMP2P - worker-client/server - -1-11] INFO  n.tomp2p.mapreduce.DistributedTask - in !deniedCntr.containsKey(recip) (requestor[1] GRANTED access to [-1633549540]) recCntr[3] denCntr[0] for requestor/key : 1_0x174fac16a6ec15d3d5febd6c865c53369ea2031c_0xee2e8d67ac3ee657e7ed1bce149b8d700f558199
14573 [NETTY-TOMP2P - worker-client/server - -1-11] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAP TASK [1] future.isSuccess()?:true
15063 [NETTY-TOMP2P - worker-client/server - -1-11] INFO  n.tomp2p.mapreduce.evaljob.MapTask - net.tomp2p.mapreduce.evaljob.MapTask$1@3bdb2298 [1]: input produced output[24928] words
15069 [NETTY-TOMP2P - worker-client/server - -1-3] INFO  n.tomp2p.mapreduce.evaljob.MapTask - net.tomp2p.mapreduce.evaljob.MapTask$1@1a99a58c [2]: input produced output[22224] words
15066 [NETTY-TOMP2P - worker-client/server - -1-5] INFO  n.tomp2p.mapreduce.evaljob.MapTask - net.tomp2p.mapreduce.evaljob.MapTask$1@61c5617e [0]: input produced output[24722] words
15641 [NETTY-TOMP2P - worker-client/server - -1-16] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAPTASK[2] put future.isSuccess()?true
15650 [NETTY-TOMP2P - worker-client/server - -1-15] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAPTASK[1] put future.isSuccess()?true
15651 [NETTY-TOMP2P - worker-client/server - -1-16] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> FINISHED EXECUTING MAPTASK [2],[-459248061]
15855 [NETTY-TOMP2P - worker-client/server - -1-15] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> FINISHED EXECUTING MAPTASK [1],[-1633549540]
15890 [NETTY-TOMP2P - worker-client/server - -1-3] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAPTASK[0] put future.isSuccess()?true
15901 [NETTY-TOMP2P - worker-client/server - -1-3] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> FINISHED EXECUTING MAPTASK [0],[-975076734]
16008 [pool-1-thread-9] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> START EXECUTING MAPTASK [4],[-816862022]
16059 [NETTY-TOMP2P - worker-client/server - -1-11] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [-1618326642] requested by peer [1] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
16125 [NETTY-TOMP2P - worker-client/server - -1-15] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [-1633549540] requested by peer [3] is [not null], dst.currentNrOfExecutions(): 2, possible nr of executions: [2]
16154 [NETTY-TOMP2P - worker-client/server - -1-13] INFO  n.tomp2p.mapreduce.DistributedTask - in !deniedCntr.containsKey(recip) (requestor[1] GRANTED access to [-1618326642]) recCntr[3] denCntr[0] for requestor/key : 1_0xdcb14a0d1963d1335183ec4d7694fcc69f8a4b8e_0xee2e8d67ac3ee657e7ed1bce149b8d700f558199
16155 [NETTY-TOMP2P - worker-client/server - -1-13] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAP TASK [3] future.isSuccess()?:true
16260 [NETTY-TOMP2P - worker-client/server - -1-13] INFO  n.tomp2p.mapreduce.evaljob.MapTask - net.tomp2p.mapreduce.evaljob.MapTask$1@722c8176 [3]: input produced output[20339] words
16502 [NETTY-TOMP2P - worker-client/server - -1-5] INFO  n.tomp2p.mapreduce.evaljob.MapTask - MAPTASK[3] put future.isSuccess()?true
16507 [NETTY-TOMP2P - worker-client/server - -1-5] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> FINISHED EXECUTING MAPTASK [3],[-1618326642]
16628 [NETTY-TOMP2P - worker-client/server - -1-8] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [-975076734] requested by peer [3] is [not null], dst.currentNrOfExecutions(): 2, possible nr of executions: [2]
16953 [NETTY-TOMP2P - worker-client/server - -1-10] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [-975076734] requested by peer [2] is [null], dst.currentNrOfExecutions(): 2, possible nr of executions: [2]
18305 [NETTY-TOMP2P - worker-client/server - -1-12] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [39373727] requested by peer [2] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
18744 [NETTY-TOMP2P - worker-client/server - -1-13] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [853867819] requested by peer [2] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
20500 [NETTY-TOMP2P - worker-client/server - -1-2] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [39373727] requested by peer [3] is [not null], dst.currentNrOfExecutions(): 2, possible nr of executions: [2]
20591 [NETTY-TOMP2P - worker-client/server - -1-3] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [640749807] requested by peer [2] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
20778 [pool-1-thread-8] INFO  n.tomp2p.mapreduce.evaljob.MapTask - >>>>>>>>>>>>>>>>>>>> START EXECUTING MAPTASK [5],[1316075284]
20787 [NETTY-TOMP2P - worker-client/server - -1-6] INFO  net.tomp2p.mapreduce.TaskRPC - value for key [-816862022] requested by peer [1] is [not null], dst.currentNrOfExecutions(): 1, possible nr of executions: [2]
